data,label
"COB REQUEST Third request with additional information included. Dear Sirs TEST Pension Scheme Reference TST12345678 You are currently paying my pension into my account No 123123 with Nationwide. I intend to close this account so wish you to make future payments into my account with the XX. My account details with them are: Name ABC Sort Code 000000 Account No 1231234 My address is 10 Test Road, Test Street, AA12 123 National Insurance No ZZ123123Z Date of Birth 01/01/1400 Please confirm you are actioning this request",MDU
"DEF Group Pension Plan Hi Team, Please see below query and reply accordingly. Many DEF Group Pension Plan. Hi My full address is 10 Test Road, Test Street, AA12 123 ABC XYZ +91 012345678 10 Test Road, Test Street, AA12 123 DEF Group Pension Plan. Dear ABC DEF Group Pension Plan Thank you for your email regarding the DEF Group Pension Plan. To enable us to answer your enquiry, please could you provide your full address for data verification purposes? Should you have any further queries please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday, on +91 012345678. Alternatively, please email us at test.pensions@pensions.com Thank you for contacting the DEF Group Pension Plan. Morning As indicated by the you email below, please see the details requested Full name – ABC XYZ Date of birth – National insurance number – I am wanting to know, how I can get/view me pension statement ABC XYZ +91 012345678 10 Test Road, Test Street, AA12 123 Thank you for contacting the DEF Group Pension Plan. Thank you for contacting the DEF Group Pension Plan. We confirm receipt of your enquiry and will aim to respond within 2 working days. We are unable to deal with your request if you have not provided your full name, date of birth and National Insurance number. If this is the case please resend your original email including this information. Please note that if you have flagged your email as ‘personal’, ‘private’ or ‘confidential’, it will be hidden from our view, so please resend the message to us, removing the flag before you send it. Why do we request this information? So that we can ensure that we identify and respond to the correct person in accordance with Data Protection Act Regulations. You may not wish to provide this information via e mail, in which case we can deal with your enquiry via telephone or in writing. Please use either of these methods to contact us if this is the case. We are unable to proceed with your enquiry via e mail without the information requested. If you wish to change your address or bank account information, DEF only accept signed written requests sent to our office.",MDU
"DEF Pension D.O.B 01/01/1400 National Insurance Number ZZ123123Z Hi Team, Please see below query and reply accordingly. Thank You Test Pensions DEF Pension D.O.B 01/01/1400 National Insurance Number ZZ123123Z Please find attached confirmation of change of bank details as requested. DEF Pension DOB National Insurance Number To whom it may concern I am writing to inform you that I am now on a full time course at University (course details attached) and I am currently living in XYZ (proof of booked accommodation attached). The address is: I have also attached a copy of my student ID, which tells you the length of my course. My bank details for payment are: Barclays Bank Payments were previously sent to my mum's bank account, but no payment has been received since August. My mum's address (my previous address) is: I would appreciate it if you could please email confirmation that my payments will recommence.",MDU
"DEF Pension Fund I still haven’t received the reset password email DEF Pension Fund Dear ABC DEF Pension Fund Thank you for your email regarding the DEF Pension Fund. Please accept our apologies for the delay in responding to you. I can confirm your username for TEST is: “XXX” An email containing a password reset link has been sent to your abc.xyz@testmail.com<mailto:abc.xyz@testmail.com email address and you will receive this within the next 30 minutes. This will only be active for 24 hours. If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively email us at test.pensions@pensions.com Did you know that member’s can access and manage their pension online by logging into their TEST account. DEF Pension Fund Hi I didn’t receive any reset email DEF Pension Fund Dear Goth DEF Pension Fund Thank you for your email regarding the DEF Pension Fund. I can confirm your username for TEST is: “XXX” An email containing a password reset link has been sent to your abc.xyz@testmail.com<mailto:abc.xyz@testmail.com email address and you will receive this within the next 30 minutes. This will only be active for 24 hours. Also, your address is updated in our records. If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively email us at test.pensions@pensions.com Did you know that member’s can access and manage their pension online by logging into their TEST account. Change of address and access to account Dear sirs I have changed address and cannot get into my account – have tried several times Please can someone help and advise My National Insurance number is My date of birth is",MDU
"DEF Pension Plan My previous address to my current one was 10 Test Road, Test Street, AA12 123 Before that 02 Test Road, Test Street, WA23 123 Before that 11 Test Road, Test Street, UA45 123 Let me know if you need any more information. DEF Pension Plan Dear Logan DEF Pension Plan Thank you for your email regarding the DEF Pension Plan. To enable us to answer your enquiry, please could you provide your previous full address for data verification purposes? If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 9.00 am and 5.00 pm, Monday to Friday, or alternatively email us at test.pensions@pensions.com Pension details Hi, I wonder if you can help me please, I have worked for DEF for 30 years left the business in 2010 and then joined DEF in 2016. I would like to gain access to view my initial pension details from my first stint at DEF but I’m not sure how to do this. My check number used to be 00 (19802010) My current number is 11 (2016 – current) My NI number is My home address is D.O.B Any help you can give me with this would be much appreciated",MDU
"DEF Retirement and Employee Scheme Thank you for your reply , If i could please have a uptodate benifit statment issued that would be great DEF Retirement and Employee Scheme Dear ABC DEF Retirement and Employee Scheme Thank you for your email regarding the DEF Retirement and Employee Scheme. Your request for change of address has been logged and you will receive a written response from our administration department in due course. Please note that you can apply for Early Retirement from the scheme from the age of 55 and over. However an update of benefit statement can be issued on request. Once your address is updated on our records. We will be able to assist you with online access. Should you have any further queries please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday, on our helpline +91 012345678. Alternatively, please email us at test.pensions@pensions.com DEF Retirement and Employee Scheme Sure my current address is Please could you also let me know how I get full details of my pension and what the balance and projections are for retirement? How can I access these details ? Thank you ABC Friday, 13 November 2020, 09:37 +0000 from test.pensions@pensions.com: Dear ABC DEF Retirement and Employee Scheme Thank you for your email regarding the DEF Retirement and Employee Scheme. Could you please provide the current address to update your record. Should you have any further queries please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday, on our helpline +91 012345678. Alternatively, please email us at test.pensions@pensions.com DEF Retirement and Employee Scheme HI , One of the reasons i was making contact is because my address has changed , I believe my registered address is I have also attached a copy of my passport for further varification DEF Retirement and Employee Scheme Dear Member DEF Retirement and Employee Scheme Thank you for your email regarding the DEF Retirement and Employee Scheme. To enable us to answer your enquiry, please could you provide your full address for data verification purposes? Should you have any further queries please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday, on our helpline +91 012345678. Alternatively, please email us at test.pensions@pensions.com DEF Pension Hi , I have a final salary pension with dress and i'm trying to get details about where it is now and what cover and benifits it gives me. My emploee number which i belived is used as the referance number is Christopher Pearce DOP NI Please could you advise how i find out where i information is now held if you require any further information please call",MDU
"DEF Trust Pension Plan Hi Test Pensions Please find attached my verification form with my new address. Can you please confirmation of receipt and provide my account balance details or online details? DEF Trust Pension Plan Dear ABC DEF Trust Pension Plan Thank you for your email regarding the DEF Pension Plan. Please find the attached correspondence which was issued to you on 05 May 2020. If you require any further information or have any questions please contact the Customer Support Centre on abc.xyz@testmail.com between 8.30am and 5.30pm, Monday to Friday, or alternatively email us at test.pensions@pensions.com DEF Trust Pension Plan Hi Test Pensions I was just following up on this as I have not received any communication from you regarding my plan. Can you please advise where this request is placed? DEF Trust Pension Plan Dear ABC DEF Trust Pension Plan Thank you for your email regarding the DEF Pension Plan. Your request has been logged and you will receive a written response from our administration department within 10 15 working days. Once your address has been updated on our records , we will proceed with your pension query. If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively email us at test.pensions@pensions.com. DEF Trust Pension Plan Hi I’m not 100% sure what my final address was on the pension fund but my details when I was working there are below: DOB: 01/01/1400 Address: 10 Test Road, Test Street, AA12 123 National insurance: ZZ123123Z Cheers ABC On 20 Apr 2020, at 6:24 pm, ""test.pensions@pensions.com"" wrote: ﻿ Dear ABC DEF Trust Pension Plan Thank you for your email regarding the DEF Pension Plan. To enable us to answer your enquiry, please could you provide your previous address, date of birth and National Insurance number for data verification purposes? If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively email us at test.pensions@pensions.com DEF pension plan query Hi I worked at DEF in 2005 to 2010 (Investments) and was part of the DEF Trust Pension Plan. I have moved back to Australia so I would like to update my personal details for the pension plan so I can get a regular update from the plan. Can you please update my details to the below details and also provide a current report of my pension? [DEF0000] DEF 14/04/2020, 05:39 ﻿ Hi ABC, I have been forwarded your email as I look after Pensions and Benefits at DEF. Test Pensions our pension administrators look after all deferred members of the DEF Pension Plan please do therefore reach out to them via phone or email as detailed below and they will be able to update your contact details. test.pensions@pensions.com +91 012345678 Please let me know if I can help any further.",MDU
"Test Pension Fund ABC XYZ Thank you for your response. In answer to your questions The address that you have for ABC XYZ is 10 Test Road, Test Street, AA12 123 F. Date of Birth 1st January 1400 National Insurance No. ZZ123123Z I look forward to hearing from you further. Test Pension Fund ABC XYZ Dear ABC XYZ Test Pension Fund Thank you for your email regarding the Ford Pension Fund. Please accept our apologies for the delay in responding to you. To enable us to answer your enquiry, please could you provide member’s full address, date of birth and National Insurance number for data verification purposes? If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively email us at . MRS ABC XYZ Pension Ref : 123456 I am writing to inform you that ABC XYZ moved into residential care on 1st January and that I will be handling all of her financial affairs as attorney, from now on. I will, of course, let you have all of my details so that any correspondence can sent directly to me, but so that I can do everything in one go would you kindly let me know what information you require from me.",MDU
"ABC XYZ pension Dear ABC XYZ, Thank you for your letter dated 1st January 1400 checking on the accuracy of my records. As you are aware I now live in Australia. Because banks in the U.S. and Australia are no longer honouring cheques from next year I wish to arrange for my Test Pensions to be paid directly into my bank account and not into my joint account. Could you please let me know what information you need to get this set up? My National insurance number is ZZ123123Z.",MDU
"ABC XYZ Your Ref: TST12345678 Our Ref: 12345678 Dear Sirs, We act for ABC XYZ of 10 Test Road, Test Street, AA12 123 and attach certified copy Lasting Power of Attorney for Property and Financial affairs. If you require any further information please do not hesitate to contact our office. Yours Sincerely ABC XYZ Fin Corp Ltd. 10 Test Road, Test Street, AA12 123 Tel: +91 012345678 Fax: +91 012345678",MDU
"Change of Address ABC Dear sir/madam, Please be advised that on 3rd December 2020 I will be moving from 2 Test Road, Test Street, AA20 123 to 10 Test Road, Test Street, AA12 123",MDU
"Change of address and bank details As per my telecom with EFG today, I am forwarding my original email which I sent to the wrong address. EFG has very kindly updated the system with our new address below, but was unable to update our bank details. Kindly update our bank account details as per below. Thanking you ABC and XYZ Begin forwarded message: Change of address and bank details ﻿ ABC Pension Ref TST12345678 NI No. ZZ123123Z and XYZ Pension Refs TST12312678 NI No. ZZ120023Z Please be advised that we have relocated permanently from XX to the XX recently. We would like to inform you to change our address and bank account details as follows: Old address: 10 Test Road, Test Street, AA12 123 To new address wef 30/10/2020: 02 Test Road, Test Street, EE12 123 From Old bank account details: XX account HIJK Joint account 11223344556 TUVW 0000 0000 0000 0000 0000 0000 000 FGH – STUVWX0BANK To new bank account details: XX account PQRS Joint account in the name of ABC & XYZ Sort Code 000000 Account No 12345678 TUVW 0000 0000 0000 0000 0000 0000 000 FGH – STUVWX0BANK There are 3 separate pensions in total 2 in the name of XYZ and 1 in the name of ABC",MDU
"Change of address I would like to notify you of a change of address: ABC 102 Test Road, Test Street, EA12 123 I have moved to the following address: 10 Test Road, Test Street, AA12 123 D. O. B. 1st January 1400 N. H. No. ZZ123123Z Pension Ref: TST12345678",MDU
"Change of details Good morning I would like to notify of my change of name and address Previous ABC XYZ of 0 Test Road, Test Street, AA12 123 Now XYZ ABC, 11 Test Road | Jaiden Street | AA12 124",MDU
"Fin Corp Error Report Error Code : [aa11aa11aa11aa11] Hi, I’m trying to log in and have the above error code. I need to activate my personal account. I’m in the Test Pensions plan and have received a letter this morning with log in details.",MDU
Fin Corp Registration Dear Sir/Madam I am a previous employee of Fin Corp and have made payments into Test Pension Scheme. I have lost track of the details for that scheme and would again like to log in to the portal. During 2019 I was contacted by the tracing group in relation to the Test Pension Scheme and completed their online form. I am contacting you today to understand the process I need to follow to register for online access to the Portal that manages the Test Pension Scheme. I believe it is the Fin Corp Portal Any guidance would be appreciated,MDU
"Password reset Hi Team, Please assist with the following. Password reset Hi I tried a password reset earlier this evening, I messed it up and tried again. I guess I have upset the system as I’m not receiving reset details now Can you help?",MDU
"Password Dear Sir / Madam, I am looking to access my Ford pension benefits as I am looking to retire in 2021. Would it be possible for you to send me a new activation code as the last one has expired. Incidentally I could not access my account orignially as the activation code would not be recognised.",MDU
"Pension Details Hi Team, Please assist with the following. Pension Details Pension Details Hi I have never been provided a log in or password for my pension scheme Can this be sent over asap please ABC XYZ 10 Test Road, Test Street, AA12 123",MDU
"Pension value reads as nil Hello, My Test pension is now with Fin Corp, pension reference is ZZ123123Z. The value has remained at nil since January 2019, pension notes indicate that a value will be uploaded shortly but that hasn’t happened to date. Could you please confirm that my pension is still active and that a value will appear soon?",MDU
Change to contributions Hello. I was wondering how I go about making a change to my plan? For example upping my monthly contribution or changing to a plan that allows for a lump sum etc? Can I do this with you or do I need to go through my own payroll?,MDU
"Registering via Fin Corp I had a letter from you back in July, advising me that I had been 'found' under the Fin Corp organisation. Unfortunately, I had mislaid the letter and only just found it and realised that I had missed the required date to register my account. I would be very grateful if you could forward me new five pair characters, so that I may register my account.",MDU
telephone conversation Hi as per telephone conversation on the 20 nov 2020 I attach my passport driving license and letter from solicitor ref to I need my name on all correspondence to be changed to ABC XYZ and not DEF on there as all my id and bank accounts are in ABC My national insurance number is ZZ123123Z Please can you confirm this is done,MDU
"Test Pension Fund Hi, My DOB: 01/01/1400 NI: ZZ123123Z Change of Address Hi, can I change my address please? 10 Test Road, Test Street, AA12 123",MDU
Test Pension Fund Logging in to manage my benefits My name is ABC XYZ based in Test locatyion. My FIN is 123456 and am a Driver Specialist in Fin Corp Ltd.. I would to be able to access and manage my pension benefits online. I know I received a letter way back in 1400 to activate my account. I cant remember if I did. If I did I have completely forgotten my log in details. Please could you assist.,MDU
"Test Pension Plan Hi, this is my previous address 10 Test Road, Test Street, AA12 123 This is my new address 10 Test Road, Test Street, AA12 123 Personal details I had asked to change my new address and married status. I had been told it’s already done but Today I had checked it out my personal details it’s not been done yet! Would you look into this please.",MDU
"Test Pension Plan Please find attached the screenshot regards ABC XYZ On Fri, Nov 20, 2020 at 11:06 PM < wrote: Dear ABC XYZ Test Pension Fund Thank you for your email regarding the Test Pension Fund. Please accept our apologies for any inconvenience this has caused you. Could you please share the screenshot of an error you are getting on Fin Corp while entering your post code, so that we can able to assist you properly. If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 9.00 am and 5.00 pm, Monday to Friday, or alternatively email us at . Fin Corp login Further to your response, please also see my additional info ABC XYZ DOB 01/01/1400 Payroll 123456 NI ZZ123123Z address 10 Test Road, Test Street, AA12 123 I am trying to create a Fin Corp account, but using the link you sent me, It asks for a post code, I put in my USA zip code which was not accepted please help thanks ABC XYZ On Wed, Nov 18, 2020 at 9:25 AM ABC XYZ < abc.xyz@testmail.com <mailto:abc.xyz@testmail.com wrote: Hi, my name i ABC XYZ Payroll number 13245678 I have tried to login to the fin corp website using the link you sent me, but I do not have a UK post code as I live in the USA and it does not accept my US zip code 12345, please help me to create a fin corp account thanks ABC XYZ",MDU
"Test Pension Scheme Hello Team Please see below query and reply accordingly to the Member/IFA. Many Test Pension Scheme Hi ABC, My date of birth is 01 Jan 1400. NI number is ZZ123123Z Best regards ABC XYZ Sent from my iPhone On 19 Nov 2020, at 20:59, wrote: ﻿ Dear ABC XYZ Test Pension Scheme Thank you for your email regarding the Test Pension Scheme. To enable us to answer your enquiry, please could you provide your date of birth and National Insurance number for data verification purposes? If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively email us at . Activation Code Hi, I left it rather to long to use the Fin Corp activation code sent to me. Could you send a new activation code.",MDU
"Test Pension Scheme TST12345678 ABC XYZ Good afternoon, I am writing in reference to the above group life claim. I can confirm that the claim for ABC XYZ has been registered onto our systems and we have commenced our assessment. I note that the address on the death register does not match the address provided on the claim form, please can you provide a reason for this? The address on the death register is 10 Test Road, Test Street, AA12 123.",MDU
"Test Pension Scheme Good evening The info you require is as follows ABC XYZ 10 Test Road, Test Street, AA12 123 ZZ123123Z Pension query Good morning A long time ago, around 1400/01 I worked for a company who were associated with your pension scheme. I do get a booklet from Test pension industries from time to time. However I am just wondering how I can get access to my own pension account. I worked for Fin Corp machine tool company in bredbury Stockport Is there any login details I can log into? Any advice on this would be gratefully appreciated",MDU
"Test Pension Scheme Thank you for your email, my NI number is ZZ123123Z and my date of birth is 01/01/1400. Change of Address ABC XYZ I am writing to advise you that I have recently moved house and my new address is: 10 Test Road, Test Street, AA12 123 I am not sure if you have my last address listed as: 10 Test Road, Test Street, AA12 123 if not then I it will be: 10 Test Road, Test Street, AA12 123 Should you need any further information then please contact me on +91 012345678.",MDU
"Test Pension Scheme Thank you for your reply. But this doesn't answer my query. I already have an activation letter and code but for some reason your system will not recogise my email address when I try to add this in as part of the set up process. Please can you investigate as a matter of urgency? I don't believe that sending a further activation letter won't fix the problem. Thank you, Ian Mills Test Pensions Scheme To: jmills255 Dear ABC XYZ Test Pension Fund Thank you for your email regarding the Test Pension Fund. I have requested an activation letter to be issued to you via post. This will be issued within 5 working days. This will be active for 28 days. If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 9.00 am and 5.00 pm, Monday to Friday, or alternatively email us at fin.corp@testmail.com <mailto:fin.corp@testmail.com . Logging issues re email address As requested for security, here are further details Nat Ins No. ZZ123123Z Date of birth 01/01/1400 Address is as in email below. Logging issues re email address To: Test Pensions I have received my activation code today and tried to log into my Fin Corp account. I entered the code, set a user name and password, but the system won't accept my email address. It says it's not recognised but I have entered my correct email address which is abc.xyz@testmail.com. P,ease can you advise as soon as possible?",MDU
"Test Pension Scheme; Scheme Member; Change of Address N.I Number: ZZ123123Z Dear sir/madam I have recently received a publication regarding the above pension scheme, redirected from my previous address, details below: 10 Test Road, Test Street, AA12 123 I wish to register a change of address to that detailed below: 10 Test Road, Test Street, AA12 123 Please could you acknowledge this change of address, and forward any future information regarding the above referenced scheme to the changed address.",MDU
"Test Pensions ABC XYZ 123456 Hi We have been advised by the above member that they have moved from 10 Test Road, Test Street, AA12 123 Please could you confirm the new address from your records.",MDU
"Test Pensions Query As requested, additional information Name: ABC XYZ DOB: 01/01/1400 NI: ZZ123123Z I have recently had my pension transferred over to you. My member reference is 12345678. I’m all my previous correspondence from the previous supplier I had a pension age of 60 for some benefits and 63 for the remainder. I note that on your website you show my normal retirement age as 65. Please can you clarify why this change has been made? Test Pensions Query Dear Sir, I have recently had my pension transferred over to you. My member reference is 12345678. I’m all my previous correspondence from the previous supplier I had a pension age of 60 for some benefits and 63 for the remainder. I note that on your website you show my normal retirement age as 65. Please can you clarify why this change has been made?",MDU
"Test Pensions Scheme ABC XYZ Hi Team, Further to the below email could you please request document over post. ABC XYZ , Senior Associate Fin Corp Ltd. | 10 Test Road | Test Street | AA12 123, Test Pensions Scheme ABC XYZ Dear ABC XYZ Test Pension Scheme Thank you for your email regarding the Test Pension Scheme. I can confirm I have forwarded your email to our administration department and they will be in contact shortly. If you have any further queries, please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday on our helpline +91 012345678. Alternatively, please email us at Test Pensions, registering Court of Protection Further to your email, I can confirm we have received the sealed copy of the Court of Protection, see below the document with the Court seal imprinted at the bottom of each page. We were issued with only one sealed copy and have been using this to notify all organisations. We hope you can use this to amend your records and send any correspondence to 10 Test Road, Test Street, AA12 123",MDU
"Updated Address and contact details Hi, I am a deferred member of the Test pension scheme and would like to update my contact details: Name: ABC XYZ NI Number: ZZ 12 31 23 Z Old Address: 10 Test Road, Test Street, AA12 123 New Address: 10 Test Road, Test Street, AA12 123 I would like to get updates and newsletters via email to abc.xyz@testmail.com",MDU
"GHIJ Paid Pension Fund Good afternoon, The below was acknowledged with thanks. On Thu, Nov 19, 2020, 6:13 AM test.pensions@pensions.com wrote: Dear ABC GHIJ Paid Pension Fund Thank you for your email regarding the GHIJ Paid Pension Fund. Please accept our apologies for the delay in responding to you. I have checked the record and I can confirm that we have updated your address and a correspondence was also issued to you on 17th November 2020 stating the same. We have informed payroll team to reinstate your pension payment. If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively email us at test.pensions@pensions.com. GHIJ Paid Pension Fund Good Afternoon, I have been trying to contact your offices by phone but whenever I did today, the phone call was disconnected. The rep I spoke seemed to have sighed then disconnected the interaction. I have been trying to resolve this matter for two months now. I have signed your form and returned same to you via express mail. I have tried calling to update my address and I have verified myself a 1000 times over. In light of the pandemic I rely heavily on my pension and it was unfortunate that same was discontinued without proper notice. Your agents appear to be very rude to me whenever I call, and when the call is dropped no one calls me back. I had moved from my previous location and called earlier on to advise you of same. I was assured my address was updated. Kindly provide an update on the receipt of the verification form and more importantly advise me on when payments can continue. My NINO is DOB My address is My contact is +91 012345678 Warm GHIJ Paid Pension Fund: Member Number Good Morning, My national insurance number is . Normally by this time i would received 45 pounds paid out by the 6th of the month and received by the 12th. However my local bank has not yet received same. Kindly confirm if it was sent. Warmest regards, ABC XYZ",MDU
"LMNO Pension Plan I have already provided this information once (before you informed me that the address had been updated on your systems .... ). However, as requested: 10 Test Road, Test Street, AA12 123 ZZ123123Z 1st January 1400 LMNO Pension Plan As you can see from the below email trail I requested that all communication to me should be sent to a new email address ( abc.xyz@testmail.com <mailto:mebehelen@gmail.com ). However, the newsletter that was recently sent out to me (from: testfund@fincorp.com) was sent to the old email address. Please confirm how I can get my address details updated correctly on the mailing list for the newsletter. LMNO Pension Plan Dear TEST PENSIONS As requested: Change of Contact Details Hi, I have recently received the newsletter from TEST Pensions to an old email address abc@testmail.com<mailto:abc@testmail.com and need to request that future communications are sent to this address abc.xyz@testmail.com. I am not sure whether there is an official way to request this change, if so please provide the details. My full name is and my address is .",MDU
